"No.","Time","Source","Destination","Protocol","Length","Info"
"224707","19:38:47.088777","180.250.13.34","10.107.135.158","DNS","419","Standard query response 0x8a9f A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns2.amzndns.net NS ns2.amzndns.org NS ns1.amzndns.net NS ns1.amzndns.org NS ns1.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.co.uk NS ns1.amzndns.com"
"224717","19:38:47.102250","118.98.44.50","10.107.135.158","DNS","419","Standard query response 0x8a9f A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns2.amzndns.net NS ns2.amzndns.org NS ns1.amzndns.net NS ns1.amzndns.org NS ns1.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.co.uk NS ns1.amzndns.com"
"232625","19:38:50.689794","10.107.135.158","180.250.13.34","DNS","71","Standard query 0x6523 A b1.nel.goog"
"232626","19:38:50.690361","10.107.135.158","180.250.13.34","DNS","71","Standard query 0x2726 HTTPS b1.nel.goog"
"232652","19:38:50.701946","180.250.13.34","10.107.135.158","DNS","87","Standard query response 0x6523 A b1.nel.goog A 74.125.24.94"
"232657","19:38:50.701946","180.250.13.34","10.107.135.158","DNS","131","Standard query response 0x2726 HTTPS b1.nel.goog SOA ns1.google.com"
"251894","19:38:58.701586","10.107.135.158","180.250.13.34","DNS","75","Standard query 0xaeca A ssl.gstatic.com"
"251895","19:38:58.701935","10.107.135.158","180.250.13.34","DNS","75","Standard query 0xa60e HTTPS ssl.gstatic.com"
"251918","19:38:58.708230","180.250.13.34","10.107.135.158","DNS","91","Standard query response 0xaeca A ssl.gstatic.com A 74.125.24.94"
"251919","19:38:58.710535","180.250.13.34","10.107.135.158","DNS","132","Standard query response 0xa60e HTTPS ssl.gstatic.com SOA ns1.google.com"
"263347","19:39:03.937107","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x1c28 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"265462","19:39:04.660390","10.107.135.158","118.98.44.50","DNS","102","Standard query 0x1c28 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
