,Time,Destination,Info
211,19:31:31.748241,118.98.44.50,mongodb.net
217,19:31:32.298746,180.250.13.34,tblsft.com
218,19:31:32.299071,180.250.13.34,tblsft.com
221,19:31:33.025820,180.250.13.34,googleapis.com
222,19:31:33.026127,180.250.13.34,googleapis.com
225,19:31:36.189303,180.250.13.34,mongodb.net
227,19:31:47.501893,118.98.44.50,google.com
229,19:31:48.010115,180.250.13.34,google.com
230,19:31:48.010430,180.250.13.34,tableau.com
231,19:31:48.010631,180.250.13.34,tableau.com
235,19:31:48.468356,180.250.13.34,cheqzone.com
236,19:31:48.468864,180.250.13.34,cheqzone.com
237,19:31:48.471215,180.250.13.34,nr-data.net
238,19:31:48.471615,180.250.13.34,nr-data.net
241,19:31:48.504323,180.250.13.34,intellimize.co
242,19:31:48.504859,180.250.13.34,intellimize.co
247,19:31:49.684012,180.250.13.34,intellimizeio.com
248,19:31:49.684248,180.250.13.34,intellimizeio.com
249,19:31:49.745528,180.250.13.34,intellimize.co
250,19:31:49.745904,180.250.13.34,intellimize.co
251,19:31:49.988732,180.250.13.34,tableau.com
252,19:31:49.989026,180.250.13.34,tableau.com
253,19:31:49.989835,180.250.13.34,en25.com
254,19:31:49.990112,180.250.13.34,en25.com
263,19:31:50.257092,180.250.13.34,tableau.com
264,19:31:50.257410,180.250.13.34,tableau.com
265,19:31:50.331890,180.250.13.34,crazyegg.com
266,19:31:50.332424,180.250.13.34,crazyegg.com
269,19:31:50.465794,180.250.13.34,linkedin.com
270,19:31:50.466018,180.250.13.34,linkedin.com
273,19:31:50.537822,180.250.13.34,lytics.io
274,19:31:50.538034,180.250.13.34,lytics.io
275,19:31:50.568252,180.250.13.34,siteimproveanalytics.io
276,19:31:50.568638,180.250.13.34,siteimproveanalytics.io
278,19:31:50.653424,180.250.13.34,cloudflare.com
279,19:31:50.653943,180.250.13.34,cloudflare.com
280,19:31:50.671432,180.250.13.34,google.com
281,19:31:50.672010,180.250.13.34,google.com
291,19:31:52.863738,180.250.13.34,zopim.com
292,19:31:52.864314,180.250.13.34,zopim.com
295,19:31:54.796250,180.250.13.34,tblsft.com
296,19:31:54.796611,180.250.13.34,tblsft.com
298,19:31:55.200182,180.250.13.34,quora.com
299,19:31:55.200713,180.250.13.34,quora.com
303,19:31:57.868993,118.98.44.50,criteo.com
304,19:31:57.869508,118.98.44.50,criteo.com
307,19:31:58.924772,180.250.13.34,microsoft.com
309,19:32:06.527582,180.250.13.34,gvt2.com
310,19:32:06.528756,180.250.13.34,gvt2.com
313,19:32:14.689637,180.250.13.34,office365.com
315,19:32:14.889760,180.250.13.34,office.com
317,19:32:15.368808,180.250.13.34,office.com
319,19:32:15.856043,180.250.13.34,office365.com
321,19:32:15.993751,180.250.13.34,office.com
323,19:32:18.413703,180.250.13.34,gstatic.com
324,19:32:18.414519,180.250.13.34,gstatic.com
327,19:32:18.571325,180.250.13.34,googleusercontent.com
